FID,precinct,shape_area,shape_leng,total_dens,TV_dens,Film_dens,Theater_de,Index,PolicePrecinct,TV,Film,Theater,ID
46,69.000000000000000,107413015.364999994635582,121953.453783999997540,0.000000083788729,0.000000009309859,0.000000037239435,0.000000000000000,69,9,1,4,0,42
47,70.000000000000000,82181407.815200001001358,49075.673631700003170,0.000008018845351,0.000002762181934,0.000002896032160,0.000000012168202,70,659,227,238,1,43
48,76.000000000000000,48238653.519599996507168,68146.387666299997363,0.000018677967444,0.000009681033071,0.000004042401389,0.000000041460527,76,901,467,195,2,48
49,77.000000000000000,42651832.126599997282028,34662.441291299997829,0.000006635119428,0.000002860369506,0.000002414902124,0.000000023445652,77,283,122,103,1,49
50,78.000000000000000,67677111.134900003671646,39797.363806200002728,0.000015633054991,0.000008732642249,0.000004166844525,0.000000177312533,78,1058,591,282,12,50
51,81.000000000000000,34485430.762199997901917,28386.718992900001467,0.000005248593275,0.000002435811244,0.000002000844950,0.000000000000000,81,181,84,69,0,52
52,83.000000000000000,56650181.433399997651577,36940.194804400001885,0.000009073227781,0.000005154440685,0.000002436002790,0.000000000000000,83,514,292,138,0,53
53,84.000000000000000,35462877.447899997234344,38087.657345799998438,0.000046217343824,0.000016890902349,0.000009108115958,0.000000084595504,84,1639,599,323,3,54
54,88.000000000000000,42391905.885600000619888,53339.504859400003625,0.000028448827077,0.000009648068221,0.000005802994578,0.000007454253198,88,1206,409,246,316,55
55,90.000000000000000,66154252.970700003206730,51583.312764499998593,0.000027662620585,0.000010037147578,0.000008162740500,0.000000105813303,90,1830,664,540,7,56
56,94.000000000000000,65641861.319499999284744,44570.169837300003564,0.000081380995185,0.000063160914646,0.000006489761129,0.000002361298063,94,5342,4146,426,155,57
57,100.000000000000000,205185208.374000012874603,283995.945115000009537,0.000000380144361,0.000000170577598,0.000000063357394,0.000000000000000,100,78,35,13,0,58
58,101.000000000000000,84672696.716399997472763,78292.582422299994505,0.000000673180402,0.000000484217482,0.000000047240730,0.000000000000000,101,57,41,4,0,59
59,102.000000000000000,133314470.841999992728233,52865.281066900002770,0.000002152804554,0.000001395197377,0.000000615087016,0.000000000000000,102,287,186,82,0,60
60,103.000000000000000,100921594.951000005006790,48549.937981700000819,0.000000614338289,0.000000426073330,0.000000118904185,0.000000000000000,103,62,43,12,0,61
61,104.000000000000000,210504683.703000009059906,75785.945507500000531,0.000003292088270,0.000002370493574,0.000000722074195,0.000000000000000,104,693,499,152,0,62
62,105.000000000000000,347328139.609000027179718,133234.881923999986611,0.000000120923113,0.000000057582435,0.000000034549461,0.000000000000000,105,42,20,12,0,63
63,106.000000000000000,172508228.205000013113022,106986.706883000006201,0.000000249263473,0.000000156514273,0.000000063765074,0.000000000000000,106,43,27,11,0,64
64,107.000000000000000,207501246.613999992609024,69289.883773199995630,0.000000771079705,0.000000534936545,0.000000187950678,0.000000004819248,107,160,111,39,1,65
65,108.000000000000000,139592389.990000009536743,73058.718660300000920,0.000026720654330,0.000022687483180,0.000002077477146,0.000000000000000,108,3730,3167,290,0,66
66,109.000000000000000,322684228.217999994754791,132344.598491999990074,0.000000635296002,0.000000402870635,0.000000161148254,0.000000000000000,109,205,130,52,0,67
67,110.000000000000000,112103693.341999992728233,72813.140367400003015,0.000000909871896,0.000000544139075,0.000000258689068,0.000000008920313,110,102,61,29,1,68
68,111.000000000000000,260157263.057999998331070,97448.260334299993701,0.000000934050417,0.000000599637305,0.000000165284642,0.000000000000000,111,243,156,43,0,69
69,112.000000000000000,88945075.945299997925758,41644.036156100002700,0.000001427847451,0.000000865702785,0.000000427229946,0.000000011242893,112,127,77,38,1,70
70,113.000000000000000,389637204.163999974727631,214242.997647000011057,0.000000069295231,0.000000046196821,0.000000007699470,0.000000000000000,113,27,18,3,0,71
71,114.000000000000000,180006158.022000014781952,113659.975741999995080,0.000008927472358,0.000006583108117,0.000001149960658,0.000000038887558,114,1607,1185,207,7,72
72,115.000000000000000,113293878.523000001907349,58272.204347600003530,0.000000962099642,0.000000573729144,0.000000273624669,0.000000000000000,115,109,65,31,0,73
73,120.000000000000000,232535326.782000005245209,96171.723983200005023,0.000001169714743,0.000000700968761,0.000000326832061,0.000000004300422,120,272,163,76,1,74
74,121.000000000000000,475716087.708999991416931,138115.721206999995047,0.000000151350778,0.000000090390048,0.000000060960730,0.000000000000000,121,72,43,29,0,75
75,122.000000000000000,454799251.518000006675720,154881.006309999997029,0.000000274846539,0.000000140721428,0.000000114336160,0.000000000000000,122,125,64,52,0,76
76,123.000000000000000,460870016.223999977111816,120830.181066000004648,0.000000201792255,0.000000145377216,0.000000052075421,0.000000000000000,123,93,67,24,0,77
